Best Thing I Never Had (Response) - Best Thing She Never Had,Ahmir,"Ahmir: Best Thing I Never Had (Response) - ""Best Thing She Never Had"" - Single"
Perfect,Ahmir,Perfect - Single
Yeah Yeah,Aidonia,Yeah Yeah - Single
Never Took the Time,Akon,Konvicted
Scars to Your Beautiful,Alessia Cara,Know-It-All (Deluxe)
No One,Alicia Keys,As I Am (Expanded Edition)
Lesson Learned (feat. John Mayer),Alicia Keys,As I Am (Expanded Edition)
Sure Looks Good to Me,Alicia Keys,As I Am (Expanded Edition)
Doesn't Mean Anything,Alicia Keys,The Element of Freedom
Try Sleeping With a Broken Heart,Alicia Keys,The Element of Freedom
Un-thinkable (I'm Ready),Alicia Keys,The Element of Freedom
Put It In a Love Song (feat. Beyoncé Knowles),Alicia Keys,The Element of Freedom
A Bagga Tings,Alkaline,A Bagga Tings - Single
Move Mountains,Alkaline,Move Mountains - Single
Weh We a Guh Do,Alkaline & Notnice,Raw and Remastered
I'm in Control (feat. Popcaan),AlunaGeorge,I Remember
Rise Up,Andra Day,Cheers to the Fall
Problem (feat. Iggy Azalea),Ariana Grande,My Everything (Deluxe)
no tears left to cry,Ariana Grande,Sweetener
ghostin,Ariana Grande,"thank u, next"
7 rings,Ariana Grande,"thank u, next"
"thank u, next",Ariana Grande,"thank u, next"
Love Me Harder,Ariana Grande & The Weeknd,My Everything (Deluxe)
We Are the World 25 for Haiti,Artists for Haiti,We Are the World 25 for Haiti - Single
No Love (feat. Nicki Minaj),August Alsina,No Love (Remix) [feat. Nicki Minaj] - Single
"Airplanes, Part II (feat Eminem & Hayley Williams of Paramore)",B.o.B,B.o.B Presents: The Adventures of Bobby Ray (Deluxe)
Lighters (feat. Bruno Mars),Bad Meets Evil,Hell: The Sequel (Deluxe Edition)
On Top of the World,Barbie,Princess Charm School (Original Motion Picture Soundtrack) - Single
Meant to Be,Bebe Rexha & Florida Georgia Line,"All Your Fault, Pt. 2 - EP"
Back It Up,Beenie Man,The Biggest Ragga Dancehall Anthems 2007
Eastside,"benny blanco, Halsey & Khalid",FRIENDS KEEP SECRETS
Raise a Hallelujah (Live),"Bethel Music, Jonathan David Helser & Melissa Helser",Victory (Live)
Ego (Remix) [feat. Kanye West],Beyoncé,Above and Beyoncé - Dance Mixes
Irreplaceable,Beyoncé,B'Day (Deluxe Edition)
Flaws and All,Beyoncé,B'Day (Deluxe Edition)
Resentment,Beyoncé,B'Day (Deluxe Edition)
Drunk in Love (feat. JAY Z),Beyoncé,BEYONCÉ
Jealous,Beyoncé,Beyoncé (Deluxe)
Flawless Remix (feat. Nicki Minaj),Beyoncé,BEYONCÉ (More Only) - EP
Drunk in Love Remix (feat. JAY Z & Kanye West),Beyoncé,BEYONCÉ (More Only) - EP
Grown Woman,Beyoncé,BEYONCÉ (Platinum Edition)
BLACK PARADE,Beyoncé,BLACK PARADE - Single
Baby Boy (feat. Sean Paul),Beyoncé,Dangerously in Love
Sweet Dreams,Beyoncé,Ego / Sweet Dreams (Singles & Dance Mixes)
Bow Down (Homecoming Live),Beyoncé,HOMECOMING: THE LIVE ALBUM
Countdown (Homecoming Live),Beyoncé,HOMECOMING: THE LIVE ALBUM
Why Don't You Love Me,Beyoncé,I Am . . . Sasha Fierce (The Bonus Tracks) - EP
Halo,Beyoncé,I Am... Sasha Fierce
Single Ladies (Put a Ring On It),Beyoncé,I Am... Sasha Fierce
If I Were a Boy / You Oughta Know (Live),Beyoncé,I Am... World Tour
Irreplaceable (Live),Beyoncé,I Am... World Tour
Hold Up,Beyoncé,Lemonade
Sorry,Beyoncé,Lemonade
6 Inch (feat. The Weeknd),Beyoncé,Lemonade
Freedom (feat. Kendrick Lamar),Beyoncé,Lemonade
All Night,Beyoncé,Lemonade
Formation,Beyoncé,Lemonade
"SPIRIT (From Disney's ""The Lion King"")",Beyoncé,The Lion King: The Gift
Schoolin' Life,Beyoncé,4
I Was Here,Beyoncé,4
Run the World (Girls),Beyoncé,4 (Expanded Edition)
Best Thing I Never Had,Beyoncé,4 (Expanded Edition)
Beautiful Liar,Beyoncé & Shakira,B'Day (Deluxe Edition)
Just Stand Up!,"Beyoncé, Mary J. Blige, Rihanna, Fergie, Sheryl Crow, Melissa Etheridge, Natasha Bedingfield, Miley Cyrus, Leona Lewis, Carrie Underwood, Keyshia Cole, LeAnn Rimes, Ashanti, Ciara & Mariah Carey",Just Stand Up! - Single
BROWN SKIN GIRL,"Beyoncé, SAINt JHN, Wizkid & Blue Ivy Carter",The Lion King: The Gift
Hold On,Bishop Briggs,Hold On - Single
Bow Down & Worship Him,Bishop Paul S. Morton & The Full Gospel Baptist Fellowship Mass Choir,A Praise And Worship Celebration
Bike Back,Black Ryno,"The Hit List, Vol. 2"
Shot a Buss,Black Ryno,Riddim Driven: Beauty and the Beast
When Mi Buss Mi Gun,Blak Ryno,Reggae Vibes
Harder Than the First Time,Blake McGrath,I Am Blake McGrath - EP
Hulk,Blaxx,Get Soca 2018
Three Little Birds,Bob Marley & The Wailers,Exodus: The Movement Continues
One Love / People Get Ready,Bob Marley & The Wailers,Legend (Remastered)
Is This Love,Bob Marley & The Wailers,Legend: The Best of Bob Marley and the Wailers
Redemption Song,Bob Marley & The Wailers,Legend: The Best of Bob Marley and the Wailers
Right Here (Departed),Brandy,Human (Deluxe Version)
Bratitude,Bratz,Bratz (Motion Picture Soundtrack)
So Good,Bratz,Rock Angelz
Grenade,Bruno Mars,Doo-Wops & Hooligans
Just the Way You Are,Bruno Mars,Doo-Wops & Hooligans (Deluxe Version)
Something,BryannaxDenise,Something - Single
Way Too Big,Burna Boy,Twice as Tall
Stay So,Busy Signal,Reggae Gold 2018: 25th Anniversary
Dreams of Brighter Days,Busy Signal & RC,Dreams of Brighter Days - Single
Havana (feat. Young Thug),Camila Cabello,Camila
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion) - Single
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion) - Single
APESHIT,THE CARTERS,EVERYTHING IS LOVE
F**k You,CeeLo Green,F**k You - Deluxe Single
Forget You,CeeLo Green,The Lady Killer
Closer (feat. Halsey),The Chainsmokers,Collage - EP
Ghetto Story Chapter 2 (Featuring Alicia Keys),Cham,Ghetto Story
Pyramid (feat. Iyaz),Charice,Charice (Deluxe Version)
Gyal You a Party Animal,Charly Black,Gyal You a Party Animal - Single
Dynamite,China Anne McClain,A.N.T. Farm
From Mawning (Never Change),Chino,From Mawning - EP
Next To You (feat. Justin Bieber),Chris Brown,F.A.M.E. (Expanded Edition)
Crawl,Chris Brown,Graffiti (Expanded Edition)
Brown Skin Girl (feat. Sean Paul),Chris Brown,Graffiti (Expanded Edition)
